rdfs__label,ts_start_sec,ts_end_sec,mnemonic_EN
taming_tiger_01,0,2,Standing with the feet about one inch apart
taming_tiger_02,0,2,Holding the fists by the waist
taming_tiger_03,2,7,Lifting the fists and pushing forward the palms from the side of chest
taming_tiger_04,7,10,Lifting the hammer fists toward the shoulders
taming_tiger_05,10,24,"Thrice side extending hands followed by throwing elbow, downward palm block and target hand"
taming_tiger_06,24,26,Descending the elbows with the palms facing the sun
taming_tiger_07,26,29,Right hand holding the fist and the left holding the palm
taming_tiger_08,29,35,Saluting with a cat stance
taming_tiger_09,35,38,Pulling back the fists toward the side of the waist
taming_tiger_10,38,43,Posing a horse stance in four steps
taming_tiger_11,43,47,Pulling up fists to throw the lower double forearm block
taming_tiger_12,47,52,Palms up facing each other followed by the stabilizing bridge
taming_tiger_13,52,64,Thrice forward extending hands
taming_tiger_14,64,75,Thrice throwing elbows followed by arm-drag claws and double-palm strike
taming_tiger_15,75,81,Downward double-palm block followed by the forward target hands and facing-the-sun palms
taming_tiger_16,81,88,Double splitting and curving palms followed by the divide punch
taming_tiger_17,88,90,Transitioning via a cat stance to launch the right leg block
taming_tiger_18,90,94,Blocking with groin stop kick
taming_tiger_19,94,97,Lower forearm block with a bow stance
taming_tiger_20,97,109,Splitting and turning followed by upper knife hand block and downward chop
taming_tiger_21,109,115,Withdrawing the hand and turning with the curving palm
taming_tiger_22,115,117,Advancing with the horizontal palm strike
taming_tiger_23,117,122,Side elbow strike with a horse stance followed by the knifehand strike
taming_tiger_24,122,126,Curving palm with a horse stance follow by the palm strike
taming_tiger_25,126,132,Pulling back the fist to launch a back fist punch
taming_tiger_26,132,137,Transitioning via a cat stance to launch the right leg block
taming_tiger_27,137,140,Blocking with groin stop kick
taming_tiger_28,140,142,Lower forearm block with a bow stance
taming_tiger_29,142,153,Splitting and turning followed by upper knife hand block and downward chop
taming_tiger_30,153,158,Withdrawing the hand and turning with the curving palm
taming_tiger_31,158,160,Advancing with the horizontal palm strike
taming_tiger_32,160,165,Side elbow strike with a horse stance followed by the knifehand strike
taming_tiger_33,165,168,Curving palm with a horse stance follow by the palm strike
taming_tiger_34,168,173,Pulling back the fist to launch a back fist punch
taming_tiger_35,175,178,Stepping with the left foot to defend with a cat stance
taming_tiger_36,178,192,Reconciling using the looking-in-the-mirror palm followed by double tiger claw strikes to the opponent's face
taming_tiger_37,192,196,Turning while dragging the horse back to the stable
taming_tiger_38,196,210,Striking with the double tiger claws three times again
taming_tiger_39,210,215,Turning while dragging the horse
taming_tiger_40,215,217,Advancing one step with the bow stance
taming_tiger_41,217,218,Front block using the double lower forearm block
taming_tiger_42,218,228,Blocking with a knife hand chop quickly followed by the double reverse knife hand strike
taming_tiger_43,228,235,Pullback followed by striking with the double hanging back fists and then knife hand thrust
taming_tiger_44,235,238,Advancing with double palm/claw strike
taming_tiger_45,238,243,Striking with a hook and uppercut
taming_tiger_46,243,255,Turning with throwing elbow stike for four times
taming_tiger_47,255,262,Turning around to a horse stance with the double palm strike
taming_tiger_48,46,64,Lifting and pushing forward the palms forward after the lower double forearm block
taming_tiger_49,64,75,Thrice forward extending hands
taming_tiger_50,75,81,Forward target hands followed by the stabilizing bridge
taming_tiger_51,81,88,Double splitting and curving palms followed by the divide punch
taming_tiger_52,262,269,Butterfly palm strike followed by the arm drag and forcing elbow strike combo to hit via splitting the opponent's body block
taming_tiger_53,269,273,Butterfly palm strike followed by the arm drag and forcing elbow strike combo to hit via splitting the opponent's body block
taming_tiger_54,273,278,"Withdrawing palms to grab the opponent's elbow, lock and sweep"
taming_tiger_55,278,279,Retreating steps while turning the body
taming_tiger_56,279,283,Double lower forearm block followed by splitting hand and upper knife hand block
taming_tiger_57,283,287,Double reverse knife hand strike following the block
taming_tiger_58,287,290,Striking with the double hanging back fists and then knife hand thrust
taming_tiger_59,290,295,Advancing with double palm/claw strike
taming_tiger_60,295,299,Striking with a hook and uppercut
taming_tiger_61,299,301,Crossing bridge with the horse stance followed by an advancing punch
taming_tiger_62,301,304,Fighting backwards with the side elbow strike followed by the rolling elbow strike
taming_tiger_63,304,309,A quick turn to fight backwards with the knife hand chop followed by butterfly palm strike
taming_tiger_64,309,314,The black-tiger punch combination
taming_tiger_65,314,319,Forcing with the butterfly palm strike via unicorn steps
taming_tiger_66,319,323,Butterfly palm strike toward another direction via unicorn steps
taming_tiger_67,323,325,Clipping hammer fists to the right
taming_tiger_68,325,326,Clipping hammer fists to the left
taming_tiger_69,326,328,Turning with the backfist block followed by a straight punch to the right
taming_tiger_70,328,331,Turning with the backfist block followed by a straight punch to the left
taming_tiger_71,331,334,Turning with the backfist block followed by a straight punch to the front
taming_tiger_72,334,336,Turning around to block with the knife hand chop
taming_tiger_73,336,344,Advancing with a straight punch followed by the side elbow strike
taming_tiger_74,344,351,Block breaking for back fist and claw strikes followed by dodging with pushing claws
taming_tiger_75,351,357,Bow stance palm strike followed by the tiger tail kick
taming_tiger_76,357,361,Stepping back like a snake followed by the two finger strike to the eyes
taming_tiger_77,361,369,Lifting hands to hammer backwards and twisting to hit the lower body like a a snake's tail
taming_tiger_78,371,375,Jump turn followed by the water crest throwing hammer fist
taming_tiger_79,375,382,Upper forcing chop to the right followed by horizontal palm strike
taming_tiger_80,383,388,Upper forcing chop to the left followed by horizontal palm strike
taming_tiger_81,388,394,Switching to right bow stance with forearm block
taming_tiger_82,394,399,Lowering the body to block with the latching hammer fist
taming_tiger_83,399,406,A quick jump followed by the rocket hammer fist
taming_tiger_84,406,415,Hook sweep and forcing with the black tiger claws
taming_tiger_85,416,420,Stepping back and strike backwards with the dragon claws
taming_tiger_86,420,428,Turning with the crossing bridge followed by a straight punch
taming_tiger_87,428,436,Tangling palms with a cat stance followed by a straight punch
taming_tiger_88,436,441,Repeating the tangling palms and punch combination
taming_tiger_89,441,448,Block breaking using butterfly palms
taming_tiger_90,448,459,Striking with the hanging-blocking-knuckling punch combination followed by the black tiger claws
taming_tiger_91,460,464,Turning with the crossing bridge followed by a straight punch
taming_tiger_92,464,466,Pulling back the fist and saluting with a cat stance
taming_tiger_93,466,469,Standing up and bowing
